"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","Source"
2001,0.037626707341681,0.0605154120486728,0.0909256606147281,0.930272076235423,0.973680517412427,0.992554543130895,1,1,1,"Hatchery_CWT"
2002,0.0279676938936809,0.0344336155888592,0.0423957515086941,0.914459151144825,0.930172751277463,0.943695408199484,1,1,1,"Hatchery_CWT"
2003,0.0338321231081708,0.0403305073826837,0.0473077472530466,0.922929189397188,0.949305718929182,0.967686227891147,0.82598194522393,0.945169576692334,0.986921510133523,"Hatchery_CWT"
2004,0.0071748813730926,0.0227546922696017,0.0730046094248115,0.880765466813583,0.959208096123517,0.987088798675953,1,1,1,"Hatchery_CWT"
2005,0.00506565301301425,0.0100073183881467,0.0254224584503792,1,1,1,0,0,0,"Hatchery_CWT"
2006,0.0235369978630051,0.041701457318521,0.0661006565204556,0.886157043414649,0.920425238486145,0.947372498057288,0.701787847348307,0.890936894580513,0.961742293164331,"Hatchery_CWT"
2007,0,0,0,0.907914053997545,0.954468383374211,0.98010701796844,1,1,1,"Hatchery_CWT"
2008,0.0213849948314802,0.0633904806575783,0.18512391957929,0.505216863338394,0.740721764899734,0.897726285522347,0,0,0,"Hatchery_CWT"
2009,0.0167304971824007,0.0248316103172937,0.0359499252340135,1,1,1,0,0,0,"Hatchery_CWT"
2010,0.00199491240515056,0.00485139380636037,0.014925108844263,0.859262486425305,0.907742648103991,0.942384775029571,1,1,1,"Hatchery_CWT"
2011,0.0483521832513033,0.0677771418291151,0.0905981698938738,0.975183084196725,0.99220688137896,0.997727983265564,1,1,1,"Hatchery_CWT"
2012,0.0801835540163667,0.0924399099544227,0.107035928628822,0.934891336459169,0.969124745475655,0.989186754170853,1,1,1,"Hatchery_CWT"
2013,0.0157596563816733,0.0300644826166241,0.0677978728353999,0.681162858044774,0.818013467004323,0.918979286837346,1,1,1,"Hatchery_CWT"
2014,0.254642632383302,0.301009060731599,0.354312715336044,0.972557371420617,0.98829640801039,0.995254631361246,1,1,1,"Hatchery_CWT"
2015,0.0774234476048954,0.0963221799604793,0.120051617252463,0.974624105559979,0.983163048290607,0.988840677919347,1,1,1,"Hatchery_CWT"
2016,0.0739613137418867,0.0833831196665714,0.0934969129687875,0.985572862567874,0.991973279505531,0.996196274949958,0,0,0,"Hatchery_CWT"
2017,0.175008332591476,0.240339990083652,0.308080451876454,0,0,0,0,0,0,"Hatchery_CWT"
